screen_code,screen_code_dec,petscii_code,petscii_code_dec,char,unicode,name,keyboard,control_code,byte1,byte2,byte3,byte4,byte5,byte6,byte7,byte8
$D9,217,$79,121,🭵,U+1FB75,vertical one eighth block-7 (reverse),,,$F9,$F9,$F9,$F9,$F9,$F9,$F9,$F9
$DA,218,$7A,122,♦,U+2666,black diamond suit (reverse),,,$F7,$E3,$C1,$80,$C1,$E3,$F7,$FF
$DB,219,$7B,123,┼,U+253C,box drawings light vertical and horizontal (reverse),,,$E7,$E7,$E7,$00,$00,$E7,$E7,$E7
$DC,220,$7C,124,🮌,U+1FB8C,left half medium shade (reverse),,,$3F,$3F,$CF,$CF,$3F,$3F,$CF,$CF
$DD,221,$7D,125,│,U+2502,box drawings light vertical (reverse),,,$E7,$E7,$E7,$E7,$E7,$E7,$E7,$E7
$DE,222,$7E,126,π,U+03C0,greek small letter pi (reverse),,,$FF,$FF,$FC,$C1,$89,$C9,$C9,$FF
$DF,223,$7F,127,◥,U+25E5,black upper right triangle (reverse),,,$00,$80,$C0,$E0,$F0,$F8,$FC,$FE
$E0,224,,,,,,,,$FF,$FF,$FF,$FF,$FF,$FF,$FF,$FF
$E1,225,,,,,,,,$0F,$0F,$0F,$0F,$0F,$0F,$0F,$0F
$E2,226,,,,,,,,$FF,$FF,$FF,$FF,$00,$00,$00,$00
$E3,227,,,,,,,,$00,$FF,$FF,$FF,$FF,$FF,$FF,$FF
$E4,228,,,,,,,,$FF,$FF,$FF,$FF,$FF,$FF,$FF,$00
$E5,229,,,,,,,,$3F,$3F,$3F,$3F,$3F,$3F,$3F,$3F
$E6,230,,,,,,,,$33,$33,$CC,$CC,$33,$33,$CC,$CC
$E7,231,,,,,,,,$FC,$FC,$FC,$FC,$FC,$FC,$FC,$FC
$E8,232,,,,,,,,$FF,$FF,$FF,$FF,$33,$33,$CC,$CC
$E9,233,,,,,,,,$00,$01,$03,$07,$0F,$1F,$3F,$7F
$EA,234,,,,,,,,$FC,$FC,$FC,$FC,$FC,$FC,$FC,$FC
$EB,235,,,,,,,,$E7,$E7,$E7,$E0,$E0,$E7,$E7,$E7
$EC,236,,,,,,,,$FF,$FF,$FF,$FF,$F0,$F0,$F0,$F0
$ED,237,,,,,,,,$E7,$E7,$E7,$E0,$E0,$FF,$FF,$FF
$EE,238,,,,,,,,$FF,$FF,$FF,$07,$07,$E7,$E7,$E7
